bool apache_child_terminate ();このリクエストの後にApacheプロセスを終了する
array apache_get_modules ();ロードされた Apache モジュールのリストを取得する
string apache_get_version ();Apache のバージョンを取得する
string apache_getenv ( string variable , [ bool walk_to_top ] );Apache の subprocess_env 変数を取得する
object apache_lookup_uri ( string filename );リクエストの一部を指定したURIに対して行い、全ての情報を返す
string apache_note ( string note_name , [ string note_value ] );Apacheリクエスト記号(note)を取得/設定する
array apache_request_headers ();HTTPリクエストヘッダを全て取得する
bool apache_reset_timeout ();Apache の書き込みタイマーをリセットする
array apache_response_headers ();HTTPレスポンスヘッダを全て取得する
int apache_setenv ( string variable , string value , [ bool walk_to_top ] );Apacheサブプロセスの環境変数を設定する
int ascii2ebcdic ( string ascii_str );ASCIIからEBCDICに文字列を変換する
int ebcdic2ascii ( string ebcdic_str );EBCDICからASCIIに文字列を変換する
array getallheaders ();全てのHTTPリクエストヘッダを取得する
int virtual ( string filename );Apacheサブリクエストを実行する
array array_change_key_case ( array input , [ int case ] );配列のキーを全て小文字または大文字にして返す
array array_chunk ( array input , int size , [ bool preserve_keys ] );配列を分割する
array array_combine ( array keys , array values );一方の配列をキーとして、もう一方の配列を値として、ひとつの配列を生成する
array array_count_values ( array input );配列の値の数を数える
array array_diff_assoc ( array array1 , array array2 , [ array ... ] );追加された添字の確認を含めて配列の差を計算する
array array_diff ( array array1 , array array2 , [ array ... ] );配列の差を計算する
array array_fill ( int start_index , int num , mixed value );配列を指定した値で埋める
array array_filter ( array input , [ callback callback ] );コールバック関数を使用する配列要素フィルタ
array array_flip ( array trans );配列の値を反転にする
array array_intersect_assoc ( array array1 , array array2 , [ array ... ] );追加された添字の確認も含めて配列の共通項を確認する
array array_intersect ( array array1 , array array2 , [ array ... ] );配列の共通項を計算する
bool array_key_exists ( mixed key , array search );指定したキーまたは添字が配列にあるかどうかを調べる
array array_keys ( array input , [ mixed search_value ] , [ bool strict ] );配列のキーをすべて返す
array array_map ( callback callback , array arr1 , [ array ... ] );指定した配列の要素にコールバック関数を適用する
array array_merge_recursive ( array array1 , array array2 , [ array ... ] );二つ以上の配列を再帰的にマージする
array array_merge ( array array1 , [ array array2 ] , [ array ... ] );1つまたは複数の配列をマージする
bool array_multisort ( array ar1 , [ mixed arg ] , [ mixed ... ] , [ array ... ] );複数の多次元の配列をソートする
array array_pad ( array input , int pad_size , mixed pad_value );指定長、指定した値で配列を埋める
mixed array_pop ( array array );配列の末尾から要素を取り除く
int array_push ( array array , mixed var , [ mixed ... ] );一つ以上の要素を配列の最後に追加する
mixed array_rand ( array input , [ int num_req ] );配列から一つ以上の要素をランダムに取得する
mixed array_reduce ( array input , callback function , [ int initial ] );コールバック関数を用いて配列を普通の値に変更することにより、配列を再帰的に減らす
array array_reverse ( array array , [ bool preserve_keys ] );逆順にした配列を返す
mixed array_search ( mixed needle , array haystack , [ bool strict ] );指定した値を配列で検索し、見つかった場合に対応するキーを返す
mixed array_shift ( array array );配列の先頭から要素を一つ取り出す
